fecha,salario_real
2023-10-01,1280139.3889752321
2023-11-01,1247445.7853896162
2023-12-01,1103231.124338873
2024-01-01,1038184.2152943688
2024-02-01,1027238.4968446908
2024-03-01,1055606.9674856854
2024-04-01,1047073.9653184444
2024-05-01,1005097.7862243083
2024-06-01,1048455.0372701776
2024-07-01,1007830.0751799304
2024-08-01,1008546.0627481733
2024-09-01,994465.6333784149
2024-10-01,1008990.4761312671
2024-11-01,1004371.6782430501
2024-12-01,980197.6954647244
2025-01-01,983309.335634398
2025-02-01,988891.9256909617
2025-03-01,953338.7279190684
2025-04-01,951073.4166564851
2025-05-01,953365.2314765686
2025-06-01,938176.8529667871
2025-07-01,963775.7667411176
2025-08-01,957980.3062756294
2025-09-01,945014.3447903666
2025-10-01,885474.1907357711
2025-11-01,873383.830443961
2025-12-01,849221.1785871808
2026-01-01,842241.0
