fecha,nominal,ajustado
2023-11-01,337474,337474.0
2023-12-01,374464,423414.03199630335
2024-01-01,425027,510697.5544570951
2024-02-01,476229,578317.3632560323
2024-03-01,543260,641988.3709037312
2024-04-01,586461,698688.2751142482
2024-05-01,586461,727867.7883607567
2024-06-01,639760,761182.7758858928
2024-07-01,639760,791865.548880728
2024-08-01,666926,824904.3435852353
2024-09-01,680429,853521.9919297963
2024-10-01,708950,876496.56807753
2024-11-01,722829,897765.2488018377
2024-12-01,724507,922041.7552673185
2025-01-01,742877,942428.5411823201
2025-02-01,765037,965062.1635425886
2025-03-01,765037,1001052.5675383374
2025-04-01,784443,1028890.1961622445
2025-05-01,798137,1044334.955735149
2025-06-01,798137,1061241.9541848993
2025-07-01,835507,1081423.4200323941
2025-08-01,846061,1101708.6903755837
2025-09-01,851936,1124579.7256733049
2025-10-01,816955,1150916.7429896097
2025-11-01,825727,1179377.9895247363
2025-12-01,825727,1212934.5004631996
2026-01-01,842241,1247445.7853896162
