fecha,nominal,ajustado
2023-11-01,477147,477147.0
2023-12-01,590090,598655.7042170365
2024-01-01,603305,722063.9397895528
2024-02-01,603305,817670.0869564058
2024-03-01,675701,907693.1118000279
2024-04-01,729757,987859.8481836768
2024-05-01,780840,1029116.1144650254
2024-06-01,796457,1076219.4360621145
2024-07-01,824333,1119601.127944057
2024-08-01,849063,1166313.9466408205
2024-09-01,866045,1206775.804605174
2024-10-01,874705,1239259.048011074
2024-11-01,892199,1269330.363731874
2024-12-01,901121,1303654.3775240025
2025-01-01,901121,1332478.8017433062
2025-02-01,925614,1364479.978154926
2025-03-01,925614,1415366.0117319115
2025-04-01,949836,1454725.01712199
2025-05-01,962184,1476562.0199605275
2025-06-01,974692,1500466.4498997321
2025-07-01,1012363,1529000.5766316715
2025-08-01,1025200,1557681.4702366362
2025-09-01,1032202,1590018.319532291
2025-10-01,1043336,1623026.4689893394
2025-11-01,1054813,1656719.854532787
