fecha,nominal,ajustado
2023-11-01,632273,632273
2023-12-01,689177,793276
2024-01-01,799446,956795
2024-02-01,895379,1083492
2024-03-01,967009,1202780
2024-04-01,986350,1309000
2024-05-01,1055394,1363671
2024-06-01,1055394,1426088
2024-07-01,1092333,1483565
2024-08-01,1125103,1545466
2024-09-01,1147605,1599081
2024-10-01,1159081,1642144
2024-11-01,1182263,1681974
2024-12-01,1194085,1727462
2025-01-01,1211996,1765653
2025-02-01,1226540,1808065
2025-03-01,1242485,1874963
2025-04-01,1258638,1927463
2025-05-01,1275000,1975649
2025-06-01,1275000,2013187
