fecha,salario_real
2023-11-01,1656719.854532787
2023-12-01,1633015.1238429165
2024-01-01,1384236.6537930307
2024-02-01,1222384.6607368824
2024-03-01,1233288.2643647096
2024-04-01,1223860.7663903031
2024-05-01,1174797.3760111316
2024-06-01,1226056.7696209713
2024-07-01,1267334.6614603316
2024-08-01,1206072.8021821114
2024-09-01,1188948.2213212547
2024-10-01,1169360.9521632092
2024-11-01,1164491.0101642606
2024-12-01,1145169.3621984962
2025-01-01,1120396.849903537
2025-02-01,1123858.9909594087
2025-03-01,1083453.3814734365
2025-04-01,1081724.82168707
2025-05-01,1079581.7005752248
2025-06-01,1076193.0655378392
2025-07-01,1069838.6323271533
2025-08-01,1063792.2922278245
2025-09-01,1054663.0016006464
2025-10-01,1044579.028581108
2025-11-01,1034592.0
