fecha,nominal,ajustado
2023-11-01,477147,477147
2023-12-01,590090,598649
2024-01-01,603305,722049
2024-02-01,603305,817661
2024-03-01,675701,907682
2024-04-01,729757,987842
2024-05-01,729757,1029100
2024-06-01,796457,1076203
2024-07-01,856457,1119578
2024-08-01,849063,1166292
2024-09-01,866045,1206753
2024-10-01,874705,1239250
2024-11-01,892199,1269308
2024-12-01,901121,1303636
2025-01-01,901121,1332457
2025-02-01,925614,1364463
2025-03-01,925614,1414948
2025-04-01,949836,1454567
2025-05-01,1007184,1490931
2025-06-01,1007184,1519259
