fecha,salario
2023-10-01,306991
2023-11-01,337474
2023-12-01,374464
2024-01-01,425027
2024-02-01,476229
2024-03-01,543260
2024-04-01,586461
2024-05-01,586461
2024-06-01,639760
2024-07-01,639760
2024-08-01,666926
2024-09-01,680429
2024-10-01,708950
2024-11-01,722829
2024-12-01,724507
2025-01-01,742877
2025-02-01,765037
2025-03-01,765037
2025-04-01,784443
2025-05-01,798137
2025-06-01,798137
2025-07-01,835507
2025-08-01,846061
2025-09-01,851936
2025-10-01,816955
2025-11-01,825727
2025-12-01,825727
2026-01-01,842241
