fecha,salario
2015-12-01,12074
2016-01-01,12074
2016-02-01,12074
2016-03-01,12074
2016-04-01,12074
2016-05-01,12074
2016-06-01,12920
2016-07-01,14127
2016-08-01,15817
2016-09-01,15817
2016-10-01,15817
2016-11-01,15817
2016-12-01,15817
2017-01-01,15817
2017-02-01,15817
2017-03-01,15817
2017-04-01,15817
2017-05-01,15817
2017-06-01,16608
2017-07-01,17399
2017-08-01,18980
2017-09-01,18980
2017-10-01,18980
2017-11-01,18980
2017-12-01,18980
2018-01-01,18980
2018-02-01,18980
2018-03-01,19170
2018-04-01,19360
2018-05-01,19550
2018-06-01,20332
2018-07-01,21517
2018-08-01,22701
2018-09-01,22701
2018-10-01,22701
2018-11-01,22701
2018-12-01,22701
2019-01-01,23688
2019-02-01,24675
2019-03-01,24675
2019-04-01,24675
2019-05-01,25267
2019-06-01,26277
2019-07-01,28046
2019-08-01,29815
2019-09-01,29815
2019-10-01,29815
2019-11-01,29815
2019-12-01,29816
2020-01-01,29816
2020-02-01,35342
2020-03-01,36342
2020-04-01,39142
2020-05-01,41942
2020-06-01,45429
2020-07-01,45429
2020-08-01,45429
2020-09-01,45429
2020-10-01,48609
2020-11-01,48609
2020-12-01,48609
2021-01-01,48609
2021-02-01,50261
2021-03-01,52739
2021-04-01,58013
2021-05-01,61317
2021-06-01,62466
2021-07-01,62466
2021-08-01,68712
2021-09-01,74959
2021-10-01,81205
2021-11-01,81205
2021-12-01,81205
2022-01-01,83939
2022-02-01,87767
2022-03-01,87767
2022-04-01,91595
2022-05-01,97063
2022-06-01,113302
2022-07-01,113302
2022-08-01,136353
2022-09-01,136353
2022-10-01,148074
2022-11-01,158377
2022-12-01,158377
2023-01-01,168145
2023-02-01,184960
2023-03-01,198411
2023-04-01,207037
2023-05-01,218424
2023-06-01,256512
2023-07-01,284729
2023-08-01,318897
2023-09-01,353976
2023-10-01,428311
2023-11-01,477147
2023-12-01,590090
2024-01-01,603305
2024-02-01,603305
2024-03-01,675701
2024-04-01,729757
2024-05-01,780840
2024-06-01,796457
2024-07-01,824333
2024-08-01,849063
2024-09-01,866045
2024-10-01,874705
2024-11-01,892199
2024-12-01,901121
2025-01-01,901121
2025-02-01,925614
2025-03-01,925614
2025-04-01,949836
2025-05-01,962184
2025-06-01,974692
2025-07-01,1012363
2025-08-01,1025200
2025-09-01,1032202
2025-10-01,1043336
2025-11-01,1054813
