fecha,salario
2023-11-01,477147
2023-12-01,590090
2024-01-01,603305
2024-02-01,603305
2024-03-01,675701
2024-04-01,729757
2024-05-01,729757
2024-06-01,796457
2024-07-01,856457
2024-08-01,849063
2024-09-01,866045
2024-10-01,874705
2024-11-01,892199
2024-12-01,901121
2025-01-01,901121
2025-02-01,925614
2025-03-01,925614
2025-04-01,949836
2025-05-01,962184
2025-06-01,974692
2025-07-01,987363
2025-08-01,1000199
2025-09-01,1012201
2025-10-01,1023335
2025-11-01,1034592
2025-12-01,1034592
2026-01-01,1055284
