fecha,salario
2023-11-01,449442
2023-12-01,474161
2024-01-01,474161
2024-02-01,550027
2024-03-01,616030
2024-04-01,665313
2024-05-01,725191
2024-06-01,754198
2024-07-01,810763
2024-08-01,826979
2024-09-01,851788
2024-10-01,909709
2024-11-01,927904
2024-12-01,937183
2025-01-01,951240
2025-02-01,962655
2025-03-01,975170
2025-04-01,987847
2025-05-01,1000689
2025-06-01,1013698
2025-07-01,1026876
2025-08-01,1040225
2025-09-01,1052708
2025-10-01,1064288
2025-11-01,1075995
2025-12-01,1097515
2026-01-01,1097515
2026-02-01,1097515
2026-03-01,1097515
