fecha,salario
2022-01-01,89979
2022-02-01,89979
2022-03-01,89979
2022-04-01,89979
2022-05-01,89979
2022-06-01,117393
2022-07-01,152611
2022-08-01,168398
2022-09-01,168398
2022-10-01,184185
2022-11-01,197342
2022-12-01,197342
2023-01-01,210498
2023-02-01,231548
2023-03-01,248388
2023-04-01,259186
2023-05-01,259186
2023-06-01,259186
2023-07-01,259186
2023-08-01,363738
2023-09-01,403749
2023-10-01,448161
2023-11-01,448161
2023-12-01,537345
2024-01-01,62332
2024-02-01,698118
2024-03-01,753967
2024-04-01,769046
2024-05-01,822879
2024-06-01,822879
2024-07-01,85168
2024-08-01,87723
2024-09-01,894775
2024-10-01,903723
2024-11-01,921797
2024-12-01,931015
2025-01-01,94498
2025-02-01,95632
2025-03-01,968752
2025-04-01,981346
2025-05-01,994113
2025-06-01,1325839
2025-07-01,1343075
2025-08-01,1360535
2025-09-01,1376862
2025-10-01,1392008
2025-11-01,1824196
