fecha,salario_real
2023-11-01,1635869.6705717242
2023-12-01,1421184.483339678
2024-01-01,1178289.2771850755
2024-02-01,1040517.6993363593
2024-03-01,937321.4213434268
2024-04-01,1118942.6504347492
2024-05-01,1074085.3255021865
2024-06-01,1210625.9390065372
2024-07-01,1163717.267552525
2024-08-01,1117108.4501838903
2024-09-01,1079653.0394359857
2024-10-01,1051353.3610675246
2024-11-01,1026446.0715563569
2024-12-01,999420.6960240081
2025-01-01,977801.0454313997
2025-02-01,954868.6578176008
2025-03-01,920538.6836762399
2025-04-01,895632.6109916107
2025-05-01,882387.0231977208
2025-06-01,868329.4221252658
2025-07-01,852124.7050344606
2025-08-01,836434.9132058768
2025-09-01,819423.9961606452
2025-10-01,802759.0370544606
2025-11-01,786433.0
