fecha,nominal,ajustado
2023-11-01,471142,471142.0
2023-12-01,513545,591121.490434233
2024-01-01,513545,712976.6062038104
2024-02-01,513545,807379.5289686719
2024-03-01,513545,896269.5942334097
2024-04-01,667197,975427.4145975012
2024-05-01,667197,1016164.4616884964
2024-06-01,786433,1062674.9776173313
2024-07-01,786433,1105510.701359998
2024-08-01,786433,1151635.6289534452
2024-09-01,786433,1191588.265530939
2024-10-01,786433,1223662.7001700387
2024-11-01,786433,1253355.5617647448
2024-12-01,786433,1287247.6002896666
2025-01-01,786433,1315709.262786824
2025-02-01,786433,1347307.697350854
2025-03-01,786433,1397553.318996863
2025-04-01,786433,1436416.9826424324
2025-05-01,786433,1457979.1619946118
2025-06-01,786433,1479865.0130828072
