fecha,nominal,ajustado
2023-11-01,449442,449442.0
2023-12-01,474161,563895.4389626536
2024-01-01,474161,680138.1151445911
2024-02-01,550027,770192.9996874358
2024-03-01,616030,854988.9395796853
2024-04-01,665313,930500.8852353008
2024-05-01,725191,969361.6531538288
2024-06-01,754198,1013729.9737452586
2024-07-01,810763,1054592.7568347552
2024-08-01,826979,1098593.2486343698
2024-09-01,851788,1136705.734654852
2024-10-01,909709,1167302.8753323257
2024-11-01,927904,1195628.134173286
2024-12-01,937183,1227959.1629899018
2025-01-01,951240,1255109.9296718098
2025-02-01,962655,1285252.9940288973
2025-03-01,975170,1333184.3877145068
2025-04-01,987847,1370258.0570460288
2025-05-01,1000689,1390827.1190536658
2025-06-01,1013698,1413343.5653495367
2025-07-01,1026876,1440220.890338809
2025-08-01,1040225,1467236.4603488953
2025-09-01,1052708,1497695.7071242866
2025-10-01,1064288,1532770.8884321048
2025-11-01,1075995,1570675.0812447078
2025-12-01,1097515,1615365.0585146747
2026-01-01,1097515,1661913.7306731225
2026-02-01,1097515,1710048.0550259743
2026-03-01,1097515,1759576.5029955595
