fecha,salario_real
2022-01-01,1454126.6957918047
2022-02-01,1388925.4569185628
2022-03-01,1301359.6003208882
2022-04-01,1227149.9281464159
2022-05-01,1168155.4155699995
2022-06-01,1447414.7839878746
2022-07-01,1751891.8900478391
2022-08-01,1807153.466181024
2022-09-01,1702203.755131317
2022-10-01,1750661.5787358938
2022-11-01,1787825.5278310294
2022-12-01,1700672.7215876142
2023-01-01,1710917.7926107168
2023-02-01,1765029.9263582374
2023-03-01,1758432.9048978717
2023-04-01,1692648.075668653
2023-05-01,1570571.4376660357
2023-06-01,1482358.7585938792
2023-07-01,1393916.8155053246
2023-08-01,1739749.9388525195
2023-09-01,1712750.2002637528
2023-10-01,1755420.6227377625
2023-11-01,1556076.4852912594
2023-12-01,1487048.6056726468
2024-01-01,1430159.5230310904
2024-02-01,1414489.7433044824
2024-03-01,1376139.2284727523
2024-04-01,1289751.5569558043
2024-05-01,1324709.5813738876
2024-06-01,1266730.4933335201
2024-07-01,1260265.9380126912
2024-08-01,1246083.3227430866
2024-09-01,1228390.1468546388
2024-10-01,1208154.049390128
2024-11-01,1203122.0834100742
2024-12-01,1183159.4799668782
2025-01-01,1174928.3561495563
2025-02-01,1161141.5020022404
2025-03-01,1133947.4448411053
2025-04-01,1117610.120971746
2025-05-01,1115406.4119793496
2025-06-01,1463907.3038658604
2025-07-01,1455263.688342374
2025-08-01,1447038.6856077474
2025-09-01,1434621.5916699048
2025-10-01,1420905.5337862293
2025-11-01,1824196.0
