fecha,nominal,ajustado
2023-11-01,448161,448161.0
2023-12-01,537345,562288.2236661055
2024-01-01,623320,678199.584865934
2024-02-01,698118,767997.7948943821
2024-03-01,753967,852552.0493210945
2024-04-01,769046,927848.7707600483
2024-05-01,822879,966598.7776822661
2024-06-01,822879,1010840.6396457137
2024-07-01,851680,1051586.9555934262
2024-08-01,877230,1095462.037151018
2024-09-01,894775,1133465.894928941
2024-10-01,903723,1163975.8276080347
2024-11-01,921797,1192220.3537703063
2024-12-01,931015,1224459.2326589802
2025-01-01,944980,1251532.6142008267
2025-02-01,956320,1281589.7647682785
2025-03-01,968752,1329384.5443517095
2025-04-01,981346,1366352.5462769507
2025-05-01,994113,1386862.9823252163
2025-06-01,1325839,1409315.2522252344
2025-07-01,1343075,1436115.971438208
2025-08-01,1360535,1463054.5416459104
2025-09-01,1376862,1493426.9734482476
2025-10-01,1392008,1524429.9248842208
2025-11-01,1824196,1556076.4852912591
