fecha,nominal,ajustado
2023-11-01,471142,471142
2023-12-01,513545,591115
2024-01-01,513545,712962
2024-02-01,513545,807371
2024-03-01,513545,896259
2024-04-01,667197,975410
2024-05-01,667197,1016148
2024-06-01,786433,1062659
2024-07-01,786433,1105488
2024-08-01,786433,1151614
2024-09-01,786433,1191565
2024-10-01,786433,1223654
2024-11-01,786433,1253334
2024-12-01,786433,1287229
2025-01-01,786433,1315688
2025-02-01,786433,1347291
2025-03-01,786433,1397141
2025-04-01,786433,1436261
2025-05-01,786433,1472168
2025-06-01,786433,1500139
