fecha,indice,indice_ext,salario_real_ipc,salario_pesos_actuales
1999-01-01,100.0,100.0,,1841026.4620900913
1999-02-01,100.2,100.2,,1844708.5150142713
1999-03-01,100.9,100.9,,1857595.7002489022
1999-04-01,101.0,101.0,,1859436.7267109922
1999-05-01,101.5,101.5,,1868641.8590214425
1999-06-01,101.5,101.5,,1868641.8590214425
1999-07-01,101.3,101.3,,1864959.8060972623
1999-08-01,101.7,101.7,,1872323.9119456226
1999-09-01,101.9,101.9,,1876005.9648698028
1999-10-01,101.9,101.9,,1876005.9648698028
1999-11-01,102.3,102.3,,1883370.0707181632
1999-12-01,102.3,102.3,,1883370.0707181632
2000-01-01,101.5,101.5,,1868641.8590214425
2000-02-01,101.5,101.5,,1868641.8590214425
2000-03-01,102.0,102.0,,1877846.991331893
2000-04-01,102.1,102.1,,1879688.017793983
2000-05-01,102.5,102.5,,1887052.1236423436
2000-06-01,102.7,102.7,,1890734.1765665237
2000-07-01,102.3,102.3,,1883370.0707181632
2000-08-01,102.5,102.5,,1887052.1236423436
2000-09-01,102.6,102.6,,1888893.1501044335
2000-10-01,102.5,102.5,,1887052.1236423436
2000-11-01,103.0,103.0,,1896257.2559527939
2000-12-01,103.1,103.1,,1898098.2824148838
2001-01-01,103.0,103.0,,1896257.2559527939
2001-02-01,103.2,103.2,,1899939.308876974
2001-03-01,103.0,103.0,,1896257.2559527939
2001-04-01,102.3,102.3,,1883370.0707181632
2001-05-01,102.3,102.3,,1883370.0707181632
2001-06-01,103.0,103.0,,1896257.2559527939
2001-07-01,103.4,103.4,,1903621.3618011542
2001-08-01,103.7,103.7,,1909144.4411874246
2001-09-01,103.8,103.8,,1910985.4676495146
2001-10-01,104.3,104.3,,1920190.5999599649
2001-11-01,104.6,104.6,,1925713.6793462352
2001-12-01,104.7,104.7,,1927554.7058083254
2002-01-01,102.3,102.3,,1883370.0707181632
2002-02-01,99.2,99.2,,1826298.2503933704
2002-03-01,95.5,95.5,,1758180.2712960371
2002-04-01,86.5,86.5,,1592487.8897079288
2002-05-01,83.1,83.1,,1529892.9899968656
2002-06-01,80.2,80.2,,1476503.2225962533
2002-07-01,77.8,77.8,,1432318.5875060908
2002-08-01,76.0,76.0,,1399180.1111884695
2002-09-01,75.0,75.0,,1380769.8465675681
2002-10-01,74.8,74.8,,1377087.7936433882
2002-11-01,74.4,74.4,,1369723.6877950279
2002-12-01,74.3,74.3,,1367882.6613329377
2003-01-01,73.3,73.3,,1349472.3967120368
2003-02-01,72.9,72.9,,1342108.2908636765
2003-03-01,72.5,72.5,,1334744.1850153161
2003-04-01,72.4,72.4,,1332903.158553226
2003-05-01,72.7,72.7,,1338426.2379394963
2003-06-01,72.8,72.8,,1340267.2644015863
2003-07-01,72.5,72.5,,1334744.1850153161
2003-08-01,72.4,72.4,,1332903.158553226
2003-09-01,72.4,72.4,,1332903.158553226
2003-10-01,72.0,72.0,,1325539.0527048658
2003-11-01,71.8,71.8,,1321856.9997806854
2003-12-01,71.7,71.7,,1320015.9733185954
2004-01-01,71.4,71.4,,1314492.893932325
2004-02-01,71.3,71.3,,1312651.8674702349
2004-03-01,70.9,70.9,,1305287.7616218745
2004-04-01,70.3,70.3,,1294241.602849334
2004-05-01,69.8,69.8,,1285036.4705388835
2004-06-01,69.4,69.4,,1277672.3646905231
2004-07-01,69.0,69.0,,1270308.258842163
2004-08-01,78.1,78.1,,1437841.6668923611
2004-09-01,77.6,77.6,,1428636.5345819108
2004-10-01,77.3,77.3,,1423113.4551956404
2004-11-01,77.3,77.3,,1423113.4551956404
2004-12-01,76.6,76.6,,1410226.2699610097
2005-01-01,75.5,75.5,,1389974.9788780187
2005-02-01,86.3,86.3,,1588805.8367837486
2005-03-01,85.0,85.0,,1564872.4927765774
2005-04-01,84.6,84.6,,1557508.386928217
2005-05-01,84.1,84.1,,1548303.2546177665
2005-06-01,83.3,83.3,,1533575.0429210458
2005-07-01,82.5,82.5,,1518846.831224325
2005-08-01,87.1,87.1,,1603534.0484804693
2005-09-01,99.9,99.9,,1839185.4356280013
2005-10-01,100.5,100.5,,1850231.5944005416
2005-11-01,99.3,99.3,,1828139.2768554604
2005-12-01,100.7,100.7,,1853913.6473247218
2006-01-01,100.9,100.9,,1857595.7002489022
2006-02-01,100.5,100.5,,1850231.5944005416
2006-03-01,99.3,99.3,,1828139.2768554604
2006-04-01,99.6,99.6,,1833662.3562417307
2006-05-01,99.2,99.2,,1826298.2503933704
2006-06-01,99.5,99.5,,1831821.3297796408
2006-07-01,108.2,108.2,,1991990.6319814788
2006-08-01,108.4,108.4,,1995672.684905659
2006-09-01,116.6,116.6,,2146636.854797046
2006-10-01,115.6,115.6,,2128226.590176145
